Timestamp;participantsID;age;gender;level of education;Previous augmented reality experience ?;Previous use of speech assistants?;Which speech assistants do you use?;How often do you use them?
2018/12/06 9:06:24 AM MEZ;1;28;Male;Bachelor or equivalent;Yes;Yes;Amazon Alexa, Google Assistant, IBM Watson;Several times a week
2018/12/06 2:09:36 PM MEZ;2;54;Female;Diploma or equivalent;No;No;;
2018/12/10 9:07:50 AM MEZ;3;33;Male;Bachelor or equivalent;Yes;Yes;Apple Siri, Amazon Alexa, Google Assistant;A few times a month
2018/12/10 2:17:23 PM MEZ;4;29;Female;Master or equivalent;No;No;;
2018/12/10 6:10:06 PM MEZ;5;25;Male;Bachelor or equivalent;Yes;Yes;Amazon Alexa;Less common
2018/12/11 2:19:42 PM MEZ;6;25;Male;Bachelor or equivalent;Yes;Yes;Apple Siri, Amazon Alexa, Google Assistant;Daily
2018/12/11 6:36:29 PM MEZ;7;26;Male;Bachelor or equivalent;Yes;Yes;Google Assistant;Never
2018/12/12 9:18:08 AM MEZ;8;24;Female;Bachelor or equivalent;Yes;Yes;Google Assistant;A few times a month
2018/12/12 11:12:54 AM MEZ;9;36;Female;Diploma or equivalent;No;No;;
2018/12/12 2:13:17 PM MEZ;10;36;Female;Bachelor or equivalent;Yes;Yes;Amazon Alexa;Daily
2018/12/12 4:57:50 PM MEZ;11;29;Male;Post-secondary non-tertiary education;No;Yes;Google Assistant;Less common
2018/12/13 9:02:48 AM MEZ;12;36;Male;Bachelor or equivalent;Yes;Yes;Apple Siri, Microsoft Cortana;Less common
2018/12/13 11:06:38 AM MEZ;13;23;Female;Bachelor or equivalent;Yes;No;;
2018/12/13 2:05:22 PM MEZ;14;34;Male;Bachelor or equivalent;Yes;Yes;Apple Siri;Daily
2018/12/14 9:02:11 AM MEZ;16;64;Male;Post-secondary non-tertiary education;No;Yes;Apple Siri;A few times a month
2018/12/14 12:43:28 PM MEZ;17;24;Female;Bachelor or equivalent;No;Yes;Apple Siri, Amazon Alexa;Less common
2018/12/16 7:31:25 PM MEZ;18;24;Female;Post-secondary non-tertiary education;No;Yes;Apple Siri;A few times a month
2018/12/18 5:39:52 PM MEZ;15;30;Female;Master or equivalent;Yes;No;;
