,pid,instruction,distance3D
0,1,verbal,0.05078347523802426
1,2,verbal,0.11761524102241092
2,3,verbal,0.19461901034375528
3,4,verbal,0.04074785808655838
4,5,verbal,0.03832058673384669
5,6,verbal,0.07818256544959144
6,7,verbal,0.06686104625336192
7,8,verbal,0.041381172027696304
8,9,verbal,0.14774786907846169
9,10,verbal,0.11093489010814017
10,11,verbal,0.16140568643337633
11,12,verbal,0.0858021517465472
12,19,shared_view,0.06769664791004604
13,20,shared_view,0.18379226215696332
14,21,shared_view,0.04105127267967037
15,22,shared_view,0.08588857613239838
16,23,shared_view,0.0718503894685798
17,24,shared_view,0.2323376184994673
18,25,shared_view,0.0951623007067888
19,26,shared_view,0.063780343285606
20,27,shared_view,0.06571271708214232
21,28,shared_view,0.30577399284554224
22,29,shared_view,0.04966837531893794
23,30,shared_view,0.05748998316233511
24,37,shared_body,0.24010169147156624
25,38,shared_body,0.21930675114279205
26,39,shared_body,0.26050490837684454
27,40,shared_body,0.11837876166233693
28,41,shared_body,0.27257168149135946
29,42,shared_body,0.1097944837766996
30,43,shared_body,0.060218684446253536
31,44,shared_body,0.2610988589223985
32,45,shared_body,0.18968349608740492
33,46,shared_body,0.12938673041155535
34,47,shared_body,0.057227120689931056
35,48,shared_body,0.09851125921670989
